text,count,files,kinds,firstFile
"Status",72,52,"jsx-text|prop:aria-label|prop:label|prop:placeholder","components/StatusBadge.tsx"
"Cancel",42,33,"jsx-text|prop:aria-label|prop:label","components/bulk-action-bar.tsx"
"Loading…",41,35,"jsx-text","components/activity-timeline.tsx"
"Promise",40,17,"jsx-text","components/document-generator.tsx"
"State",37,29,"jsx-text|prop:aria-label|prop:label|prop:placeholder","components/gis-health-dashboard.tsx"
"Property",25,19,"jsx-text|prop:aria-label|prop:label","components/compliance-settings.tsx"
"Actions",23,19,"jsx-text|prop:label","components/ab-tests-content.tsx"
"Type",22,21,"jsx-text","components/ab-tests-content.tsx"
"Couldn",22,17,"prop:title","pages/cohort-analysis.tsx"
"Notes",21,19,"jsx-text","components/lead-detail-content.tsx"
"Email",20,18,"jsx-text|prop:aria-label|prop:label|prop:placeholder","components/ai-offer-generator.tsx"
"Category",19,17,"jsx-text|prop:aria-label|prop:label","components/feedback-button.tsx"
"Description",19,17,"jsx-text","components/pricing-guide.tsx"
"Delete",16,8,"jsx-text|prop:aria-label|prop:label","components/compliance-settings.tsx"
"Active",15,13,"jsx-text|prop:aria-label|prop:label","components/campaigns-content.tsx"
"Tier",15,10,"jsx-text","components/founder/finance-steering-sections.tsx"
"Leads",14,13,"jsx-text","components/activity-content.tsx"
"Pending",14,11,"jsx-text|prop:aria-label|prop:label","components/email-domains-settings.tsx"
"Failed",14,12,"jsx-text|prop:aria-label|prop:label","components/email-domains-settings.tsx"
"All",14,9,"jsx-text|prop:placeholder","components/founder/finance-steering-sections.tsx"
"County",14,11,"jsx-text|prop:placeholder","components/gis-health-dashboard.tsx"
"Completed",13,11,"jsx-text|prop:aria-label|prop:label","components/ab-test-manager.tsx"
"Amount",13,10,"jsx-text|prop:label","components/mobile/QuickAddSheet.tsx"
"Name",12,12,"jsx-text|prop:placeholder","components/ab-tests-content.tsx"
"Phone",12,10,"jsx-text|prop:aria-label|prop:label|prop:placeholder","components/ai-offer-generator.tsx"
"Close",12,7,"jsx-text|prop:aria-label|prop:label","components/campaigns-content.tsx"
"Action",12,11,"jsx-text","components/compliance-settings.tsx"
"Date",12,11,"jsx-text","components/founder/finance-steering-sections.tsx"
"Refresh",12,4,"prop:aria-label|prop:label","components/source-attribution-panel.tsx"
"Success",11,7,"jsx-text|prop:aria-label|prop:label","components/founder/PerformanceReviews.tsx"
"Response rate",10,7,"jsx-text","components/ab-test-manager.tsx"
"Subject",10,10,"jsx-text|prop:label","components/ab-tests-content.tsx"
"Cost",10,10,"jsx-text","components/attribution-analytics.tsx"
"Message",10,8,"jsx-text|prop:aria-label|prop:label","components/conversation-tray.tsx"
"Zoning",10,8,"jsx-text|prop:aria-label|prop:label","components/due-diligence-panel.tsx"
"Send message",10,5,"prop:aria-label|prop:label","components/founder/AgentTeamChat.tsx"
"Org",10,9,"jsx-text|prop:label","components/founder/finance-steering-sections.tsx"
"Principal",10,7,"jsx-text|prop:label","components/note-payoff-calculator.tsx"
"Notifications",10,6,"jsx-text|prop:aria-label|prop:label","components/notification-banner.tsx"
"All statuses",10,8,"jsx-text|prop:placeholder","pages/counties.tsx"
"Sent",9,8,"jsx-text|prop:label","components/ab-test-manager.tsx"
"Properties",9,8,"jsx-text|prop:aria-label|prop:label","components/activity-content.tsx"
"Total",9,9,"jsx-text|prop:label","components/analytics-content.tsx"
"(optional)",9,8,"jsx-text","components/campaigns-content.tsx"
"Source",9,9,"jsx-text","components/lead-detail-content.tsx"
"Balance",9,7,"jsx-text|prop:label","components/note-compliance-card.tsx"
"Interest",9,6,"jsx-text","components/note-record-payment-modal.tsx"
"Closed",9,7,"jsx-text|prop:label","pages/cohort-analysis.tsx"
"Deals",8,8,"jsx-text","components/activity-content.tsx"
"Clear selection",8,3,"prop:aria-label|prop:label","components/bulk-action-bar.tsx"
"Size",8,8,"jsx-text|prop:label","components/cohort-retention-dashboard.tsx"
"Note",8,8,"jsx-text|prop:placeholder","components/compliance-settings.tsx"
"Created",8,8,"jsx-text","components/compliance-settings.tsx"
"Required",8,5,"jsx-text|prop:aria-label|prop:label","components/custom-fields.tsx"
"Recommendations",8,4,"jsx-text|prop:aria-label|prop:label","components/dashboard/ChurnIntelligence.tsx"
"Errors",8,7,"jsx-text|prop:label","components/gis-health-dashboard.tsx"
"City",8,6,"jsx-text|prop:aria-label|prop:label|prop:placeholder","components/mail-settings-content.tsx"
"Back",8,3,"jsx-text|prop:aria-label|prop:label","components/mobile/MobileLeadDetail.tsx"
"Acres",8,6,"jsx-text","components/onboarding-wizard.tsx"
"Agent",8,5,"jsx-text|prop:aria-label|prop:label","pages/agent-collaboration.tsx"
"Success rate",8,6,"jsx-text|prop:label","pages/agent-command-center.tsx"
"Any",8,3,"jsx-text|prop:placeholder","pages/capital-markets.tsx"
"Back to AcreOS home",8,4,"prop:aria-label|prop:label","pages/changelog.tsx"
"AcreOS",7,6,"jsx-text|prop:aria-label|prop:label","components/acreos-logo.tsx"
"Confidence",7,7,"jsx-text","components/ai-offer-generator.tsx"
"Revenue",7,6,"jsx-text","components/attribution-analytics.tsx"
"Sale price",7,7,"jsx-text","components/comps-analysis.tsx"
"Other",7,7,"jsx-text","components/feedback-button.tsx"
"Priority",7,6,"jsx-text|prop:placeholder","components/help/HelpPanel.tsx"
"Low",7,6,"jsx-text","components/help/HelpPanel.tsx"
"High",7,6,"jsx-text","components/help/HelpPanel.tsx"
"Decision queue",7,3,"jsx-text|prop:label","components/today/DecisionQueue.tsx"
"Monthly payment",7,5,"jsx-text|prop:label","pages/blind-offer-wizard.tsx"
"Property ID",7,6,"jsx-text|prop:placeholder","pages/deal-patterns.tsx"
"Model",7,6,"jsx-text","pages/founder/ai-costs.tsx"
"Content",6,4,"jsx-text|prop:placeholder","components/ab-test-manager.tsx"
"Tasks",6,3,"jsx-text|prop:aria-label|prop:label","components/activity-content.tsx"
"Channel",6,5,"jsx-text|prop:aria-label|prop:label","components/attribution-analytics.tsx"
"Lead",6,6,"jsx-text","components/compliance-settings.tsx"
"Deal",6,5,"jsx-text","components/compliance-settings.tsx"
"Settings",6,4,"jsx-text|prop:aria-label|prop:label","components/compliance-settings.tsx"
"Address",6,6,"jsx-text","components/comps-analysis.tsx"
"Acreage",6,6,"jsx-text","components/comps-analysis.tsx"
"Loading messages",6,3,"prop:aria-label|prop:label","components/conversation-tray.tsx"
"All types",6,3,"jsx-text|prop:placeholder","components/custom-fields.tsx"
"Purchase price",6,5,"jsx-text|prop:label","components/deal-calculator.tsx"
"New",6,5,"jsx-text","components/deal-detail-content.tsx"
"Select a property",6,3,"prop:placeholder","components/document-generator.tsx"
"you@example.com",6,5,"prop:placeholder","components/email-settings-content.tsx"
"Pro tip",6,6,"jsx-text","components/empty-states/CampaignsEmptyState.tsx"
"Send SMS",6,3,"prop:aria-label|prop:label","components/focus-list.tsx"
"Verified investor",6,3,"prop:aria-label|prop:label","components/investor-profile-card.tsx"
"Lead actions",6,2,"prop:aria-label|prop:label","components/mobile/MobileLeadDetail.tsx"
"Active notes",6,5,"jsx-text|prop:label|prop:title","components/mobile/persona-tabs/NoteInvestorTabs.tsx"
"Method",6,6,"jsx-text","components/note-record-payment-modal.tsx"
"Integrations",6,4,"jsx-text|prop:aria-label|prop:label","components/pax-copilot-rail.tsx"
"Analyzing…",6,4,"jsx-text","components/property-analysis-chat.tsx"
"Install AcreOS",6,1,"jsx-text|prop:aria-label|prop:label","components/pwa-install-prompt.tsx"
"Title",6,6,"jsx-text","components/support-content.tsx"
"Status:",6,4,"jsx-text","components/workflow-builder.tsx"
"Resolved",6,3,"jsx-text|prop:aria-label|prop:label","pages/anticipatory-enterprise.tsx"
"Tax year",6,4,"jsx-text|prop:aria-label|prop:label","pages/borrower-portal.tsx"
"Rate",6,5,"jsx-text|prop:label","pages/buyer-analytics.tsx"
"Lead ID",6,3,"jsx-text|prop:placeholder","pages/buyer-qualification.tsx"
"We couldn",6,4,"prop:description","pages/documents.tsx"
"Change note",6,3,"prop:aria-label|prop:label","pages/founder/studio/allocation.tsx"
"Open →",6,1,"jsx-text","pages/founder-dashboard.tsx"
"Reporting period",6,2,"jsx-text|prop:aria-label|prop:label","pages/marketplace-analytics.tsx"
"Delivered",5,5,"jsx-text","components/ab-test-manager.tsx"
"Last 7 days",5,5,"jsx-text","components/analytics-content.tsx"
"Last 30 days",5,5,"jsx-text","components/analytics-content.tsx"
"Last 90 days",5,5,"jsx-text","components/analytics-content.tsx"
"Budget",5,3,"jsx-text","components/campaigns-content.tsx"
"Schedule",5,4,"jsx-text","components/campaigns-content.tsx"
"Contacted",5,5,"jsx-text","components/cohort-analytics.tsx"
"Monthly",5,5,"jsx-text","components/cohort-retention-dashboard.tsx"
"All entities",5,3,"jsx-text|prop:placeholder","components/compliance-settings.tsx"
"Team members",5,3,"prop:aria-label|prop:label","components/conversation-tray.tsx"
"Net profit",5,4,"jsx-text|prop:label","components/deal-calculator.tsx"
"Cancelled",5,5,"jsx-text","components/deal-detail-content.tsx"
"Assessed value",5,4,"jsx-text|prop:label","components/deal-detail-content.tsx"
"Value",5,5,"jsx-text|prop:placeholder","components/email-domains-settings.tsx"
"Reject",5,3,"jsx-text|prop:aria-label|prop:label","components/founder/AgentDebatePanel.tsx"
"Starter",5,4,"jsx-text","components/founder/finance-steering-sections.tsx"
"Atlas",5,3,"prop:aria-label|prop:label","components/founder-bridge/BridgeAtlasSheet.tsx"
"Optional",5,4,"jsx-text|prop:aria-label|prop:label|prop:placeholder","components/founder-setup-wizard.tsx"
"Pass",5,2,"prop:aria-label|prop:label","components/mobile/CourthouseMode.tsx"
"Quick actions",5,3,"jsx-text|prop:aria-label|prop:label","components/mobile/MobileCommandDrawer.tsx"
"Reason",5,5,"jsx-text","components/modals/lost-reason-modal.tsx"
"Role",5,5,"jsx-text","components/note-splits-card.tsx"
"Done",5,4,"jsx-text|prop:aria-label|prop:label","components/notes-import-dialog.tsx"
"Warnings",5,5,"jsx-text","components/offer-preflight-checklist.tsx"
"Travis",5,5,"prop:placeholder","components/onboarding-wizard.tsx"
"Period",5,4,"jsx-text","components/property-enrichment-widget.tsx"
"Activity",5,5,"jsx-text","components/today/ActivityFeed.tsx"
"Medium",5,4,"jsx-text","components/workflow-builder.tsx"
"Description (optional)",5,4,"jsx-text","components/workflow-builder.tsx"
"Task",5,5,"jsx-text","pages/agent-collaboration.tsx"
"Scope",5,4,"jsx-text","pages/anticipatory-enterprise.tsx"
"Active delegation tokens",5,2,"jsx-text|prop:aria-label|prop:label","pages/anticipatory-enterprise.tsx"
"States covered",5,5,"jsx-text","pages/avm.tsx"
"Interest rate",5,5,"jsx-text|prop:label","pages/borrower-portal.tsx"
"Target",5,4,"jsx-text|prop:aria-label|prop:label","pages/capital-markets.tsx"
"Open",5,3,"jsx-text|prop:aria-label|prop:label","pages/certification-requirements.tsx"
"Filter by status",5,4,"jsx-text|prop:placeholder","pages/command-center.tsx"
"All states",5,4,"jsx-text|prop:placeholder","pages/counties.tsx"
